CacheSize,BlockSize,Associativity,WriteAlloc,WritePolicy,Replacement,LoadMisses,StoreMisses,TotalCycles,Command
512,128,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 512 128 4 write-allocate write-back fifo < gcc.trace
512,128,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 512 128 4 write-allocate write-back lru < gcc.trace
1024,128,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 1024 128 4 write-allocate write-back fifo < gcc.trace
1024,128,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 1024 128 4 write-allocate write-back lru < gcc.trace
1024,256,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 1024 256 4 write-allocate write-back fifo < gcc.trace
1024,256,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 1024 256 4 write-allocate write-back lru < gcc.trace
2048,64,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 2048 64 4 write-allocate write-back fifo < gcc.trace
2048,64,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 2048 64 4 write-allocate write-back lru < gcc.trace
2048,128,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 2048 128 4 write-allocate write-back fifo < gcc.trace
2048,128,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 2048 128 4 write-allocate write-back lru < gcc.trace
2048,256,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 2048 256 4 write-allocate write-back fifo < gcc.trace
2048,256,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 2048 256 4 write-allocate write-back lru < gcc.trace
4096,32,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 4096 32 4 write-allocate write-back fifo < gcc.trace
4096,32,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 4096 32 4 write-allocate write-back lru < gcc.trace
4096,64,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 4096 64 4 write-allocate write-back fifo < gcc.trace
4096,64,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 4096 64 4 write-allocate write-back lru < gcc.trace
4096,128,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 4096 128 4 write-allocate write-back fifo < gcc.trace
4096,128,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 4096 128 4 write-allocate write-back lru < gcc.trace
4096,256,4,write-allocate,write-back,fifo,4431,27356,3694383,./csim 4096 256 4 write-allocate write-back fifo < gcc.trace
4096,256,4,write-allocate,write-back,lru,4431,27356,3694383,./csim 4096 256 4 write-allocate write-back lru < gcc.trace
1024,64,4,write-allocate,write-back,lru,4431,27356,3694483,./csim 1024 64 4 write-allocate write-back lru < gcc.trace
1024,64,4,write-allocate,write-back,fifo,4431,27357,3694683,./csim 1024 64 4 write-allocate write-back fifo < gcc.trace
2048,32,4,write-allocate,write-back,lru,4432,27356,3695383,./csim 2048 32 4 write-allocate write-back lru < gcc.trace
2048,32,4,write-allocate,write-back,fifo,4433,27356,3695583,./csim 2048 32 4 write-allocate write-back fifo < gcc.trace
4096,16,4,write-allocate,write-back,lru,4432,27357,3697483,./csim 4096 16 4 write-allocate write-back lru < gcc.trace
4096,16,4,write-allocate,write-back,fifo,4433,27357,3697783,./csim 4096 16 4 write-allocate write-back fifo < gcc.trace
512,64,4,write-allocate,write-back,lru,4505,27362,4006883,./csim 512 64 4 write-allocate write-back lru < gcc.trace
1024,32,4,write-allocate,write-back,lru,4514,27369,4014383,./csim 1024 32 4 write-allocate write-back lru < gcc.trace
2048,16,4,write-allocate,write-back,lru,4538,27369,4027283,./csim 2048 16 4 write-allocate write-back lru < gcc.trace
512,64,4,write-allocate,write-back,fifo,4638,27407,4037183,./csim 512 64 4 write-allocate write-back fifo < gcc.trace
1024,32,4,write-allocate,write-back,fifo,4647,27413,4045083,./csim 1024 32 4 write-allocate write-back fifo < gcc.trace
4096,8,4,write-allocate,write-back,lru,4537,27367,4058383,./csim 4096 8 4 write-allocate write-back lru < gcc.trace
2048,16,4,write-allocate,write-back,fifo,4677,27431,4062083,./csim 2048 16 4 write-allocate write-back fifo < gcc.trace
4096,8,4,write-allocate,write-back,fifo,4689,27423,4091983,./csim 4096 8 4 write-allocate write-back fifo < gcc.trace
1024,64,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 1024 64 8 write-allocate write-back fifo < gcc.trace
1024,64,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 1024 64 8 write-allocate write-back lru < gcc.trace
1024,128,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 1024 128 8 write-allocate write-back fifo < gcc.trace
1024,128,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 1024 128 8 write-allocate write-back lru < gcc.trace
2048,32,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 2048 32 8 write-allocate write-back fifo < gcc.trace
2048,32,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 2048 32 8 write-allocate write-back lru < gcc.trace
2048,64,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 2048 64 8 write-allocate write-back fifo < gcc.trace
2048,64,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 2048 64 8 write-allocate write-back lru < gcc.trace
2048,128,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 2048 128 8 write-allocate write-back fifo < gcc.trace
2048,128,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 2048 128 8 write-allocate write-back lru < gcc.trace
2048,256,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 2048 256 8 write-allocate write-back fifo < gcc.trace
2048,256,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 2048 256 8 write-allocate write-back lru < gcc.trace
4096,32,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 4096 32 8 write-allocate write-back fifo < gcc.trace
4096,32,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 4096 32 8 write-allocate write-back lru < gcc.trace
4096,64,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 4096 64 8 write-allocate write-back fifo < gcc.trace
4096,64,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 4096 64 8 write-allocate write-back lru < gcc.trace
4096,128,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 4096 128 8 write-allocate write-back fifo < gcc.trace
4096,128,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 4096 128 8 write-allocate write-back lru < gcc.trace
4096,256,8,write-allocate,write-back,fifo,3626,17375,4715883,./csim 4096 256 8 write-allocate write-back fifo < gcc.trace
4096,256,8,write-allocate,write-back,lru,3626,17375,4715883,./csim 4096 256 8 write-allocate write-back lru < gcc.trace
512,64,8,write-allocate,write-back,lru,3626,17375,4716683,./csim 512 64 8 write-allocate write-back lru < gcc.trace
512,64,8,write-allocate,write-back,fifo,3628,17376,4718083,./csim 512 64 8 write-allocate write-back fifo < gcc.trace
4096,16,8,write-allocate,write-back,lru,3627,17377,4721083,./csim 4096 16 8 write-allocate write-back lru < gcc.trace
4096,16,8,write-allocate,write-back,fifo,3627,17378,4721483,./csim 4096 16 8 write-allocate write-back fifo < gcc.trace
1024,32,8,write-allocate,write-back,lru,3628,17376,4722883,./csim 1024 32 8 write-allocate write-back lru < gcc.trace
1024,32,8,write-allocate,write-back,fifo,3628,17378,4723883,./csim 1024 32 8 write-allocate write-back fifo < gcc.trace
2048,16,8,write-allocate,write-back,fifo,3628,17378,4726083,./csim 2048 16 8 write-allocate write-back fifo < gcc.trace
2048,16,8,write-allocate,write-back,lru,3627,17379,4726083,./csim 2048 16 8 write-allocate write-back lru < gcc.trace
4096,8,8,write-allocate,write-back,lru,3627,17379,4741283,./csim 4096 8 8 write-allocate write-back lru < gcc.trace
4096,8,8,write-allocate,write-back,fifo,3630,17379,4743083,./csim 4096 8 8 write-allocate write-back fifo < gcc.trace
1024,32,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 1024 32 16 write-allocate write-back lru < gcc.trace
1024,64,16,write-allocate,write-back,fifo,2342,8869,5000083,./csim 1024 64 16 write-allocate write-back fifo < gcc.trace
1024,64,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 1024 64 16 write-allocate write-back lru < gcc.trace
2048,32,16,write-allocate,write-back,fifo,2342,8869,5000083,./csim 2048 32 16 write-allocate write-back fifo < gcc.trace
2048,32,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 2048 32 16 write-allocate write-back lru < gcc.trace
2048,64,16,write-allocate,write-back,fifo,2342,8869,5000083,./csim 2048 64 16 write-allocate write-back fifo < gcc.trace
2048,64,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 2048 64 16 write-allocate write-back lru < gcc.trace
2048,128,16,write-allocate,write-back,fifo,2342,8869,5000083,./csim 2048 128 16 write-allocate write-back fifo < gcc.trace
2048,128,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 2048 128 16 write-allocate write-back lru < gcc.trace
4096,32,16,write-allocate,write-back,fifo,2342,8869,5000083,./csim 4096 32 16 write-allocate write-back fifo < gcc.trace
4096,32,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 4096 32 16 write-allocate write-back lru < gcc.trace
4096,64,16,write-allocate,write-back,fifo,2342,8869,5000083,./csim 4096 64 16 write-allocate write-back fifo < gcc.trace
4096,64,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 4096 64 16 write-allocate write-back lru < gcc.trace
4096,128,16,write-allocate,write-back,fifo,2342,8869,5000083,./csim 4096 128 16 write-allocate write-back fifo < gcc.trace
4096,128,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 4096 128 16 write-allocate write-back lru < gcc.trace
4096,256,16,write-allocate,write-back,fifo,2342,8869,5000083,./csim 4096 256 16 write-allocate write-back fifo < gcc.trace
4096,256,16,write-allocate,write-back,lru,2342,8869,5000083,./csim 4096 256 16 write-allocate write-back lru < gcc.trace
1024,32,16,write-allocate,write-back,fifo,2342,8869,5000483,./csim 1024 32 16 write-allocate write-back fifo < gcc.trace
4096,16,16,write-allocate,write-back,lru,2343,8869,5005283,./csim 4096 16 16 write-allocate write-back lru < gcc.trace
4096,16,16,write-allocate,write-back,fifo,2343,8872,5007283,./csim 4096 16 16 write-allocate write-back fifo < gcc.trace
2048,16,16,write-allocate,write-back,lru,2343,8871,5010883,./csim 2048 16 16 write-allocate write-back lru < gcc.trace
2048,16,16,write-allocate,write-back,fifo,2343,8872,5011683,./csim 2048 16 16 write-allocate write-back fifo < gcc.trace
512,32,16,write-allocate,write-back,lru,2342,8870,5013683,./csim 512 32 16 write-allocate write-back lru < gcc.trace
512,32,16,write-allocate,write-back,fifo,2344,8872,5016483,./csim 512 32 16 write-allocate write-back fifo < gcc.trace
4096,8,16,write-allocate,write-back,fifo,2343,8873,5017683,./csim 4096 8 16 write-allocate write-back fifo < gcc.trace
4096,8,16,write-allocate,write-back,lru,2343,8873,5018083,./csim 4096 8 16 write-allocate write-back lru < gcc.trace
1024,16,16,write-allocate,write-back,lru,2343,8873,5022483,./csim 1024 16 16 write-allocate write-back lru < gcc.trace
1024,16,16,write-allocate,write-back,fifo,2345,8873,5023683,./csim 1024 16 16 write-allocate write-back fifo < gcc.trace
2048,8,16,write-allocate,write-back,lru,2343,8875,5053283,./csim 2048 8 16 write-allocate write-back lru < gcc.trace
2048,8,16,write-allocate,write-back,fifo,2349,8875,5060083,./csim 2048 8 16 write-allocate write-back fifo < gcc.trace
512,32,4,write-allocate,write-back,lru,4852,27410,5105083,./csim 512 32 4 write-allocate write-back lru < gcc.trace
1024,16,4,write-allocate,write-back,lru,4854,27415,5107083,./csim 1024 16 4 write-allocate write-back lru < gcc.trace
256,64,4,write-allocate,write-back,lru,4852,27412,5107283,./csim 256 64 4 write-allocate write-back lru < gcc.trace
2048,8,4,write-allocate,write-back,lru,4867,27418,5109383,./csim 2048 8 4 write-allocate write-back lru < gcc.trace
4096,4,4,write-allocate,write-back,lru,4888,27418,5111283,./csim 4096 4 4 write-allocate write-back lru < gcc.trace
4096,4,16,write-allocate,write-back,lru,2362,8878,5130883,./csim 4096 4 16 write-allocate write-back lru < gcc.trace
4096,4,16,write-allocate,write-back,fifo,2386,8880,5147683,./csim 4096 4 16 write-allocate write-back fifo < gcc.trace
512,32,4,write-allocate,write-back,fifo,5034,27491,5149783,./csim 512 32 4 write-allocate write-back fifo < gcc.trace
256,64,4,write-allocate,write-back,fifo,5024,27502,5151083,./csim 256 64 4 write-allocate write-back fifo < gcc.trace
1024,16,4,write-allocate,write-back,fifo,5036,27513,5152983,./csim 1024 16 4 write-allocate write-back fifo < gcc.trace
2048,8,4,write-allocate,write-back,fifo,5047,27525,5157883,./csim 2048 8 4 write-allocate write-back fifo < gcc.trace
4096,4,4,write-allocate,write-back,fifo,5080,27524,5163083,./csim 4096 4 4 write-allocate write-back fifo < gcc.trace
1024,32,32,write-allocate,write-back,fifo,1503,4531,5342883,./csim 1024 32 32 write-allocate write-back fifo < gcc.trace
1024,32,32,write-allocate,write-back,lru,1503,4531,5342883,./csim 1024 32 32 write-allocate write-back lru < gcc.trace
2048,32,32,write-allocate,write-back,fifo,1503,4531,5342883,./csim 2048 32 32 write-allocate write-back fifo < gcc.trace
2048,32,32,write-allocate,write-back,lru,1503,4531,5342883,./csim 2048 32 32 write-allocate write-back lru < gcc.trace
2048,64,32,write-allocate,write-back,fifo,1503,4531,5342883,./csim 2048 64 32 write-allocate write-back fifo < gcc.trace
2048,64,32,write-allocate,write-back,lru,1503,4531,5342883,./csim 2048 64 32 write-allocate write-back lru < gcc.trace
4096,32,32,write-allocate,write-back,fifo,1503,4531,5342883,./csim 4096 32 32 write-allocate write-back fifo < gcc.trace
4096,32,32,write-allocate,write-back,lru,1503,4531,5342883,./csim 4096 32 32 write-allocate write-back lru < gcc.trace
4096,64,32,write-allocate,write-back,fifo,1503,4531,5342883,./csim 4096 64 32 write-allocate write-back fifo < gcc.trace
4096,64,32,write-allocate,write-back,lru,1503,4531,5342883,./csim 4096 64 32 write-allocate write-back lru < gcc.trace
4096,128,32,write-allocate,write-back,fifo,1503,4531,5342883,./csim 4096 128 32 write-allocate write-back fifo < gcc.trace
4096,128,32,write-allocate,write-back,lru,1503,4531,5342883,./csim 4096 128 32 write-allocate write-back lru < gcc.trace
4096,16,32,write-allocate,write-back,lru,1503,4531,5345283,./csim 4096 16 32 write-allocate write-back lru < gcc.trace
4096,16,32,write-allocate,write-back,fifo,1504,4532,5348483,./csim 4096 16 32 write-allocate write-back fifo < gcc.trace
2048,16,32,write-allocate,write-back,lru,1504,4531,5353283,./csim 2048 16 32 write-allocate write-back lru < gcc.trace
2048,16,32,write-allocate,write-back,fifo,1506,4533,5358883,./csim 2048 16 32 write-allocate write-back fifo < gcc.trace
1024,16,32,write-allocate,write-back,lru,1505,4532,5364483,./csim 1024 16 32 write-allocate write-back lru < gcc.trace
1024,16,32,write-allocate,write-back,fifo,1506,4533,5367683,./csim 1024 16 32 write-allocate write-back fifo < gcc.trace
4096,8,32,write-allocate,write-back,lru,1505,4534,5371683,./csim 4096 8 32 write-allocate write-back lru < gcc.trace
4096,8,32,write-allocate,write-back,fifo,1507,4534,5374083,./csim 4096 8 32 write-allocate write-back fifo < gcc.trace
2048,8,32,write-allocate,write-back,lru,1505,4534,5378883,./csim 2048 8 32 write-allocate write-back lru < gcc.trace
2048,8,32,write-allocate,write-back,fifo,1508,4534,5382883,./csim 2048 8 32 write-allocate write-back fifo < gcc.trace
4096,4,32,write-allocate,write-back,lru,1507,4534,5386883,./csim 4096 4 32 write-allocate write-back lru < gcc.trace
512,32,8,write-allocate,write-back,lru,3714,17390,5390683,./csim 512 32 8 write-allocate write-back lru < gcc.trace
4096,4,32,write-allocate,write-back,fifo,1512,4535,5393283,./csim 4096 4 32 write-allocate write-back fifo < gcc.trace
512,16,32,write-allocate,write-back,lru,1507,4534,5394883,./csim 512 16 32 write-allocate write-back lru < gcc.trace
512,16,32,write-allocate,write-back,fifo,1511,4535,5402083,./csim 512 16 32 write-allocate write-back fifo < gcc.trace
1024,16,8,write-allocate,write-back,lru,3740,17392,5418483,./csim 1024 16 8 write-allocate write-back lru < gcc.trace
1024,8,32,write-allocate,write-back,lru,1506,4537,5438083,./csim 1024 8 32 write-allocate write-back lru < gcc.trace
1024,8,32,write-allocate,write-back,fifo,1511,4538,5450883,./csim 1024 8 32 write-allocate write-back fifo < gcc.trace
512,32,8,write-allocate,write-back,fifo,3865,17439,5458083,./csim 512 32 8 write-allocate write-back fifo < gcc.trace
2048,8,8,write-allocate,write-back,lru,3742,17390,5463283,./csim 2048 8 8 write-allocate write-back lru < gcc.trace
